T[ms],AccX[mg],AccY[mg],AccZ[mg],GyroX[mdps],GyroY[mdps],GyroZ[mdps],MagX[mgauss],MagY[mgauss],MagZ[mgauss],P[mB],T[�C],
87385,0,-65,-1005,-14560,13720,10010,-226,-526,132,1001.25,39.20
87425,-7,-69,-1005,-7840,10290,9660,-233,-526,136,1001.18,39.20
87465,4,-65,-994,-6720,11410,6860,-227,-533,123,1001.16,39.20
87505,8,-58,-997,-5460,11130,6230,-226,-529,130,1001.17,39.20
87545,8,-58,-994,-4690,9520,6440,-243,-523,133,1001.18,39.20
87585,27,-54,-994,490,9100,7070,-233,-534,130,1001.20,39.20
87616,4,-58,-997,210,7700,17570,-227,-544,134,1001.19,39.20
87625,4,-61,-970,-1890,7070,20020,-227,-544,130,1001.19,39.20
87656,-11,-65,-997,-5950,6230,18200,-215,-540,129,1001.29,39.20
87665,-3,-58,-1001,-6440,6300,17430,-234,-538,138,1001.29,39.20
87696,-11,-61,-1005,-1890,3990,10290,-224,-544,133,1001.21,39.20
87705,-11,-61,-994,560,4620,8260,-234,-542,137,1001.21,39.20
87736,-3,-50,-994,2940,6510,4340,-228,-549,133,1001.19,39.20
87745,0,-46,-986,2450,6440,3710,-228,-552,127,1001.19,39.20
87776,-7,-50,-986,-1820,7490,3920,-230,-555,133,1001.08,39.20
87785,-11,-46,-982,-2380,8120,3080,-220,-554,126,1001.08,39.20
87816,0,-42,-982,-4270,9730,-140,-224,-552,130,1001.15,39.20
87825,-3,-38,-982,-4900,8890,770,-219,-552,126,1001.15,39.20
87856,-3,-42,-990,-6650,7140,4270,-232,-556,122,1001.21,39.20
87865,-3,-42,-982,-6860,7210,5110,-235,-551,126,1001.21,39.20
87896,-3,-42,-994,-7000,8050,3290,-213,-544,115,1001.15,39.20
87905,0,-42,-994,-5180,7210,2520,-228,-558,123,1001.15,39.20
87936,-3,-34,-982,-1960,2660,140,-227,-551,126,1001.29,39.20
87945,-3,-34,-982,-2520,4620,1260,-227,-558,127,1001.29,39.20
87976,-3,-46,-1001,-3430,6090,2030,-230,-547,123,1001.11,39.20
87985,-3,-46,-997,-2170,5880,2100,-230,-547,131,1001.11,39.20
88016,-15,-46,-1005,2870,2940,1610,-228,-559,127,1001.19,39.20
88025,-22,-38,-994,4550,2240,210,-228,-559,127,1001.19,39.20
88056,-7,-26,-982,2660,7420,-3080,-234,-552,114,1001.25,39.20
88065,-26,-34,-966,70,8260,-3080,-234,-552,114,1001.25,39.20
88096,-7,-34,-997,-2450,6090,-980,-224,-566,116,1001.08,39.20
88105,-15,-30,-986,-1050,5810,-210,-224,-566,116,1001.08,39.20
88136,-3,-30,-997,2450,4130,-1050,-232,-563,118,1001.25,39.10
88145,-7,-30,-994,3500,3360,70,-232,-563,118,1001.25,39.10
88176,-11,-30,-990,4830,980,840,-242,-570,112,1001.19,39.20
88185,-11,-19,-982,4410,910,1190,-242,-570,112,1001.19,39.20
88216,-22,-15,-982,1470,2940,-490,-232,-570,120,1001.10,39.10
88225,-89,-85,-1075,630,4760,840,-232,-570,120,1001.10,39.10
88256,-112,-93,-1075,8960,-4060,-5530,-240,-585,124,1001.28,39.10
88265,27,20,-939,2450,-4480,-700,-240,-585,124,1001.28,39.10
88296,-3,-7,-994,840,1330,-770,-232,-576,111,1001.13,39.10
88305,-15,-11,-990,420,1470,-1120,-232,-576,111,1001.13,39.10
88336,-19,-19,-997,-1540,-980,-280,-229,-573,115,1001.18,39.10
88345,-30,-11,-997,-2030,-1960,140,-229,-573,115,1001.18,39.10
88376,-19,-11,-997,-350,2380,140,-238,-576,115,1001.23,39.10
88385,-19,-15,-994,70,3080,140,-238,-576,115,1001.23,39.10
88416,-30,-15,-994,-1050,840,0,-225,-576,101,1001.16,39.10
88425,-15,-11,-982,-1470,0,-140,-225,-576,101,1001.16,39.10
88456,-26,-7,-978,-1960,-560,210,-231,-572,105,1001.25,39.10
88465,-26,-19,-994,-1750,140,350,-231,-572,105,1001.25,39.10
88496,-26,-11,-1001,-700,2170,280,-224,-564,105,1001.27,39.10
88505,-19,-11,-982,-770,1750,420,-224,-564,105,1001.27,39.10
88536,-15,-7,-997,-1330,630,-280,-225,-566,111,1001.18,39.10
88545,-15,-11,-994,-1330,490,-210,-225,-566,111,1001.18,39.10
88576,-22,-11,-997,-1260,840,-280,-231,-573,115,1001.15,39.10
88585,-15,-15,-994,-1260,1120,-70,-231,-573,115,1001.15,39.10
88616,-19,-11,-997,-1330,350,420,-228,-573,116,1001.20,39.10
88625,-19,-11,-997,-1330,140,280,-228,-573,116,1001.20,39.10
88656,-22,-11,-1001,-1120,1190,-350,-232,-570,108,1001.28,39.10
88665,-7,-11,-1001,-1610,280,-350,-232,-570,108,1001.28,39.10
88696,-19,-11,-1001,-1960,-910,-420,-239,-584,113,1001.22,39.10
88705,-19,-11,-1001,-1330,280,-420,-239,-584,113,1001.22,39.10
88736,-15,-15,-1001,-1400,420,350,-236,-581,113,1001.20,39.10
88745,-19,-15,-994,-1820,-490,350,-236,-581,113,1001.20,39.10
88776,-15,-11,-994,-1680,-210,420,-231,-577,109,1001.15,39.10
88785,-22,-15,-994,-1750,-140,210,-231,-577,109,1001.15,39.10
88816,-26,-15,-997,-1330,1120,-700,-229,-570,111,1001.11,39.10
88825,-19,-11,-1001,-1120,1610,-560,-229,-570,111,1001.11,39.10
88856,-26,-11,-994,-1610,350,350,-236,-577,111,1001.15,39.10
88865,-19,-7,-990,-1750,70,490,-218,-580,111,1001.15,39.10
88896,-30,-11,-1001,-1750,210,490,-225,-577,123,1001.21,39.10
88905,-19,-19,-1001,-1470,840,70,-231,-573,112,1001.21,39.10
88936,-22,-15,-997,-1470,560,-210,-236,-581,115,1001.21,39.10
88945,-34,-15,-994,-1330,560,-210,-231,-570,112,1001.21,39.10
88976,-15,-3,-1001,-490,2310,210,-229,-585,127,1001.13,39.10
88985,-19,-3,-994,-910,1680,700,-235,-583,111,1001.13,39.10
89016,-22,-15,-997,-2730,-1260,770,-236,-580,113,1001.09,39.10
89025,-30,-19,-1005,-2660,-1050,420,-225,-576,113,1001.09,39.10
89056,-26,-7,-990,-1190,1470,-350,-228,-575,109,1001.25,39.10
89065,-15,-7,-997,-980,1750,-140,-224,-577,111,1001.25,39.10
89096,-22,-11,-997,-1050,1260,420,-231,-577,104,1001.13,39.10
89105,-22,-11,-990,-1260,1050,280,-240,-579,105,1001.13,39.10
